Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count_x,Ship Late Day count_x,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,Ship ahead day count_y,Ship Late Day count_y,Cluster
1447158700.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,611,25.709675550985242,0,0,1
1447269654.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,385,13.354837775492621,0,0,1
1447383139.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,329,4.451612591830874,0,0,1
1447339100.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,461,12.354837775492621,0,0,1
1447179949.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682648,PLANT03,PORT09,310,0.3561098426601536,0,0,1
1447269653.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,638,33.3659899198263,0,0,1
1447383138.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,630,26.774492439869725,0,0,1
1447219821.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,377,8.591497479956574,0,0,1
1447179953.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,542,24.774492439869725,0,0,1
1447317265.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,465,11.887246219934863,0,0,1
1447360906.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,435,18.18299495991315,0,0,1
1447158699.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,562,24.774492439869725,0,0,1
1447339099.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,676,32.3659899198263,0,0,1
1447200810.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,411,8.591497479956574,0,0,1
1447296434.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682805,PLANT03,PORT09,417,12.887246219934863,0,0,1
1447339098.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682760,PLANT03,PORT09,255,0.34160969072014075,0,0,1
1447269676.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682757,PLANT03,PORT09,333,0.3340982340747597,0,0,1
1447317263.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682757,PLANT03,PORT09,326,0.5011473511121396,0,0,1
1447144476.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682757,PLANT03,PORT09,263,1.0022947022242792,0,0,1
1447200808.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682757,PLANT03,PORT09,312,0.8352455851868992,0,0,1
